Issue key,Pool,Service,Category,Issue Type,Description
IT-58891,Hosting-Americas-Datacenter,Datacenter Services,Host Down,Incident,Host rifclx249 is down or unreachable
IT-58889,India-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Karishma Babani
Title:-			Product Validation Engineer I
Manager:-		Jatinder Singh
Employee_Number:-	311921
Employee login:-	kbabani
Location:-		NOIDA 02"
IT-58888,cos-pool,COS,COS account,Incident,"{color:windowtext}Hello,{color} 

{color:windowtext}Â {color} 

{color:windowtext}The customer Mr. BORTOLI Louis (email:{color} [{color:windowtext}louis.bortoli@nanoxplore.com{color}|mailto:louis.bortoli@nanoxplore.com]{color:windowtext}) cannot open a manual page on COS.{color} 

{color:windowtext}When he clicks on the logo{color}!image002.jpg|thumbnail!{color:windowtext} , he returns to the login page.{color} 

{color:windowtext}Â {color} 

{color:windowtext}I tried from my side but it works correctly and I have access to the doc.{color} 

{color:windowtext}Â {color} 

{color:windowtext}Could you please help?{color} 

{color:windowtext}Thanks and regards,{color} 

{color:windowtext}Florence{color} 

{color:windowtext}Â {color} 

{color:windowtext}******************************{color} 

{color:windowtext}He did a research with the words{color} ""set_analysis_view""{color:windowtext} and tried to access to this pageÂ :{color}
 [https://support.cadence.com/apex/techpubDocViewerPage?xmlName=innovustcr.xml&title=Innovus%20Text%20Command%20Reference%20--%20set_analysis_view%20-%20set_analysis_view&hash=&c_version=19.12&path=innovusTCR/innovusTCR19.12/set_analysis_view.html|https://support.cadence.com/apex/techpubDocViewerPage?xmlName=innovustcr.xml&title=Innovus%20Text%20Command%20Reference%20--%20set_analysis_view%20-%20set_analysis_view&hash=&c_version=19.12&path=innovusTCR/innovusTCR19.12/set_analysis_view.html]{color:windowtext}{color} 

{color:windowtext}When he clicks on the doc logo, he goes back to the registration page.{color}"
IT-58886,wws_timecard,Personal Computing Software,Browser Issues/Crashes,Incident,"This site shows up as NOT secure 

Â  

And login does not work 

Â  

Â  

Â  

Regards 

Jaspreet Singh 

248.752.0747 

Â "
IT-58885,euro-pool,Personal Computing Hardware,New PC,Service Request,"this is temporary system for Pavel Tadtaev,Â  new AWR employee"
IT-58884,euro-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-58882 is complete. Please look up and identify the old system for recovery.
IT-58882,euro-pool,Personal Computing Hardware,New PC,Service Request,new laptop DELL 7490 A342704 15P55S2 needs BIOS setup for imaging
IT-58878,Hosting-Americas-Datacenter,Monitoring,IT Monitoring- Ping Server â€“ Automation,Incident,"Title 'Unable to ping rifclx249 server'. OMi Alert Id '6fed7eb4-33a5-71ea-0302-0ad1d5150000'. CI Name 'rifclx249'. Ping failed from wcauedgeprdw04. Ping failed from srv-autoedgein5. Ping failed from srv-autoedgein6.

Â 

C:\Users\sivak>ping rifclx249

Pinging rifclx249.cadence.com [10.209.176.66] with 32 bytes of data:
Reply from 10.209.0.129: Destination host unreachable.
Reply from 10.209.0.129: Destination host unreachable.
Reply from 10.209.0.129: Destination host unreachable.
Reply from 10.209.0.129: Destination host unreachable.

Ping statistics for 10.209.176.66:
 Packets: Sent = 4, Received = 4, Lost = 0 (0% loss),"
IT-58875,India-pool,Personal Computing Hardware,New Hire Module,Service Request,"New Hire Setup: Master ticket

New hire start date 1/13/2020
Please follow up with Raghvendra Singh and Sushrut B Veerapur  Check if the following issues have been resolved:

Install laptop/ thinclient
Install VM
Setup Telephone
Create home directory
Add aliases/ unix groups
Initial IT induction

Also check for any other pending issues/ feedback from the Raghvendra Singh

Please add New Hire to these aliases: 

R E  H I R E  R E P O R T 
================================================


EMPLOYEE INFORMATION
---------------------------------------------
Name:               Raghvendra Singh
Title:              Lead Design Engineer
Start Date:         1/13/2020
Department:         34288
Manager:            Sushrut B Veerapur
Manager Phone:      
Employee Status:    E
Employee Number:     308579
Login:              singhrag

FACILITIES INFORMATION
---------------------------------------------
Location:           BANGALORE 05
Office Type:        Cadence Office
Office Number:      5.2.694
Item Required:      Name Plate


IT INFORMATION
---------------------------------------------
Telephone:          null
Alias List:         


REPORT DISTRIBUTION
---------------------------------------------
CC List:            "
IT-58872,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881990  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00009;"
IT-58871,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881989  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00008;"
IT-58870,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881988  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00007;"
IT-58868,VCAD-Pool,VCAD,VCAD Project Data Management,Service Request,"Hi, 

Â  

Please delete snapshot from SJ VCAD chamber in below directory, 

/proj/jade8/design/final/rx_mimo_hlf_5g_dft/chintanika/ 

Â  

Thanks,{color:#333333}Â {color}{color:black}{color} 
|{color:#333333}{color} !image001.gif!{color:#333333}{color} | 
|
 !image002.jpg|thumbnail! |{color:#333333} Â {color} | 
|  *{color:#333333} *Chintanika Chothani*{color}*{color:#333333}Â Â Â {color}{color:#E31937}:{color}{color:#333333}Â Â Â Sr. Design Engineer{color} | 
|{color:#333333} P: 7990453512Â Â Â {color}[{color:#333333}{color}{color:#333333}www.cadence.com{color}{color:#333333}{color}|http://www.cadence.com/]{color:#333333}{color} | 
|{color:#333333} Â {color} | 
|{color:#333333}{color} !image001.gif!{color:#333333}{color} | 
 

Â  

Â "
IT-58867,ITSDL2-core-pool,DPC,New Secure Directory Setup,Service Request,"We need a DPC creation on SJ network for an evaluation with Bosch, on GF12 techno.
disk space required:
 - project: 800GB
 - vault: 200GB
access permission owners:
 - Benoit Carpentier (benoit@cadence.com)
 - Antoine Dekeyser (dekeyser@cadence.com)
 - Sebastien Caussette (scausset@cadence.com)

start date: 6th January 2020
possible end date: 30th April 2020, to be confirmed

please let me know if any additional information is required?"
IT-58864,euro-pool,WebEx,WebEx account creation,Service Request,Create webex a/c for new starter Charis Paris (AWR)
IT-58863,SFI-tools,SFI Tools,SFI tools Requests,Incident,"{color:#000000}Hi Sanjay/Niraj,{color} {color:#000000}{color} 
  {color:#000000}{color} 
  
{color:#000000} the location of sjlsfsig is /grid/sfi/farm/sjlsfsig/conf/profile.lsf{color}
  {color:#000000}{color} 
  
 {color:#000000} 

Thanks 

Zhenxiang (Dennis) Hu{color}"
IT-58862,euro-pool,WebEx,WebEx account creation,Service Request,Create webex a/c for new starter Andrea Sani (AWR)
IT-58860,euro-pool,Cisco Telephony,Cisco Deskphone issues,Incident,"From: Sergey Bessarab <bessarab@cadence.com> 
Sent: Thursday, January 9, 2020 8:12 PM
To: Yuri Yakovenko <yuriyak@cadence.com>
Subject: Telephone issues

Hi Yuri.

CISCO telephones donâ€™t work at Corot and Cailebotte halls.
Please fix them.


Regards,
Sergey Bessarab
Cadence Design Systems R&D CIC Group

Email: bessarab@cadence.com

Â "
IT-58859,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881989  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00008;"
IT-58858,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881988  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00007;"
IT-58856,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfsb447, Service: Vormetric, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: Vormetric"
IT-58854,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfsb447, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58853,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10703, Service: AutoMounter Processes, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-58852,euro-pool,UNIX,UNIX Reboot server,Service Request,vlmo-khabarov2 needs reboot
IT-58850,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881989  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00008;"
IT-58849,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881990  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00009;"
IT-58848,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881988  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126532 00007;"
IT-58847,L2-Servicedesk,UNIX,Unix Sudo Access,Service Request,"Hi Team, 

Â  

Unbale to create any file in /etc location on machine noi-sekharc due to permissions. Please provide permssions. 

Â  

Regards, 

{color:black}Â {color} 
|{color:#333333}
{color} !image001.png|thumbnail!{color:#333333}{color} | 
|
 !image002.jpg|thumbnail! |{color:#333333} Â {color} | 
| |   *{color:#333333} *Chandrasekhar Chava*{color}*{color:#333333}Â Â Â {color}{color:#E31937}|{color}{color:#333333}Â Â Â Lead Software Engineer{color}  {color:#333333}P: 0120.3984000 4474Â Â Â M: 91 9582888830Â Â Â {color}[{color:#333333}{color}{color:#333333}www.cadence.com{color}{color:#333333}{color}|http://www.cadence.com/]{color:#333333}{color}  {color:#333333}Â {color}{color:#333333}{color}  !image001.png|thumbnail!{color:#333333}{color} 
 

{color:black}Â {color}{color:black}{color} 

Â "
IT-58846,asiapac-pool,Personal Computing Software,OS Performance Issues (Slow/Stuck/Hung),Incident,"Hello, 

Â  

I would like to connect to my PC of office by remote. 

Now I couldnâ€™t connect to my PC of office cause occurred the problem. 

Â  

When I put the password after run the Remote Desktop Connection App, 

Opened the Popup like a below. 

Â  

!image001.png|thumbnail! 

Â  

I supporting the Samsung company. 

I couldnâ€™t connect to PC at the my office 

So, Can you check the above message? 

What is problem? How can I solve it? 

Â  

Please let me know that. 

Â  

Thank you, 

Regards, 

Kilhyun Wang 

Â  

Â "
IT-58845,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"blrbm65, Service: AutoMounter Processes, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-58843,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"blrbm65, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-58842,infosec_pool,Cloud,Cloud Security,Service Request,"Hi Koji, 

Â  

We have a requirement to add one more Inbound rule in the security group â€œapplication-dr-rubrik-sgâ€ as per Rubrik. Please help to add the same. 

Â  

Inbound Rule:
 Type: All Traffic
 Protocal: All
 Port Range: All
 Source: sg-0e73def5062688d9c 

Â  

Thanks, 

Priya."
IT-58841,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881978  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126722 00006;"
IT-58840,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881977  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126722 00005;"
IT-58839,India-pool,Outlook,Outlook profile issues,Incident,Outlook issue
IT-58838,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 881976  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490126722 00004;"
IT-58837,L2-WinSrvSupport,Windows - Infrastructure Services,AD Groups Creation/Modification,Service Request,"Â  

Â   

Thanks and Regards, 

Binod Sen"
IT-58836,L2-WinSrvSupport,Windows - Infrastructure Services,AD Groups Creation/Modification,Service Request,"Â  

Â   

Thanks and Regards, 

Binod Sen"
IT-58835,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-55655 is complete. Please look up and identify the old system for recovery.
IT-58834,L2-WinSrvSupport,Windows - Infrastructure Services,AD Groups Creation/Modification,Service Request,"Â  

Â   

Thanks and Regards, 

Binod Sen  

Â "
IT-58833,L2-WinSrvSupport,Windows - Infrastructure Services,AD Groups Creation/Modification,Service Request,"Â  

Â  

Thanks and Regards, 

Binod Sen 

Â "
IT-58830,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
rifclx448, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-58829,Cisco_UC_L2,Jabber,Install/Configure/Move Jabber,Service Request,"
Update Phone and Voice Mail +441344866571 from BRACKNELL 03, 3.3.193 to destination BRACKNELL 03, 3.3.194.
Approved By: Tina Lee
Approve Comments:
-------------------------------------------------------------------------

Scheduled Move Date:
Last Date On Site:
First Date On Site:
Requester Comments:
-------------------------------------------------------------------------
Please Update Phone and Voice Mail at New location.
Customer: fotios
Customer Last Name: Ntampitzias
Customer First Name: Fotios
Customer Phone Number: +441344866571
-------------------------------------------------------------------------

Customer Current Building: BRACKNELL 03
Customer Current Floor:
Customer Current Office: 3.3.193
-------------------------------------------------------------------------
Customer New Building: BRACKNELL 03
Customer New Floor:
Customer New Office: 3.3.194
-------------------------------------------------------------------------
Action: Update Phone and Voice Mail

"
IT-58826,L2-Servicedesk,ServerFarm,Server Farm- SJ Scratch request registration,Service Request,"Hi,

I need access to Scratch storage to run ubuild.
Can you give me access?

Cheers,
Scott."
IT-58825,L2-Servicedesk,UNIX Infrastructure Services,Internal FTP issue (int-ftp),Incident,Unable to find the files in the data in the ftp server.
IT-58824,Server-farm,ServerFarm,Server Farm Access Request,Service Request,"Hi,

I need access to the SJ farm to use ubuild.
Could you grant me access?

Cheers,
Scott."
IT-58823,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,"Hi, 

Please create home directory in SJ and SJDPC . 

Â  

Â  

Thanks 

Jaidev"
IT-58822,euro-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-57008 is complete. Please look up and identify the old system for recovery.
IT-58818,L2-Servicedesk,UNIX,UNIX create/modify Directory or Link,Service Request,"Hi, 

Please create home directory in SJ and SJDPC . 

Â  

Â  

Thanks 

Jaidev"
IT-58817,India-pool,Personal Computing Hardware,Screen failure/issue,Incident,Lines on screen. need to replace it
IT-58816,japan-pool,Personal Computing Hardware,Loaner Laptop Request,Service Request,User : naito
IT-58814,L2-WinSrvSupport,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert :Â Memory breached the threshold with 
physical memory used %: 92%Â 

Desc :Â Memory of VW-CCMSPRREP.global.cadence.com has reached upto 
physical memory used %: 92% The current threshold is physical memory used % > 90Source: SiteScope\General Critical\Windows\VW-CCMSPRREP.global.cadence.com\VW-CCMSPRREP.global.cadence.com-Memory

CI :Â VW-CCMSPRREP.global.cadence.com-Memory"
IT-58813,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sj-wfopbsm01, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58812,India-pool,UNIX,UNIX Enable or disable service,Service Request,VNC password is not working
IT-58810,ITSDL2-core-pool,Vormetric,Vormetric Policy - Grant Access,Service Request,"Hi it, 

Â Â Â Â Â Â Â  Please provide the access permission for below mentioned path, same is needed to work on CCR CCMPR02198111 

Â  

{color:black}/grid/tfo/intel_vorm26/vijayks/Meterolake/DA9106/EC1083469/{color} 

{color:black}Â {color} 

{color:black}Â {color} 

{color:black}With Regards{color} 

{color:black}Vipin Kumar{color} 

Â "
IT-58809,L2-Servicedesk,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: Memory  breached the threshold with physical memory used %: 81% 
Desc: Memory of ri-logstash01 has reached upto physical memory used %: 81%  The current threshold is physical memory used % > 80Source:   SiteScope\Elastic Search\ri-logstash01\ri-logstash01 - Memory
CI: ri-logstash01"
IT-58808,japan-pool,Personal Computing Hardware,New PC,Service Request,Request of quote a Latitude 7400 for NEP
IT-58807,asiapac-pool,WebEx,WebEx Desktop app Install/Configure,Service Request,install Webext Meeting Desktop app
IT-58806,japan-pool,Personal Computing Accessories,Battery Request,Service Request,Request of quote a UPS
IT-58805,Hosting-Americas-Datacenter,Hosting-Storage,Storage- Create Home directory,Service Request,"send to SJ data storage
Please make helix-sj2 a root trusted host for
sfv_dvusers volume
thanks


Filesystem                             Size  Used Avail Use% Mounted on
sjvclapa02-p8:/vols/sfv_dvusers/users  973G  376G  598G  39% /dv/users
"
IT-58804,japan-pool,Personal Computing Accessories,Monitor Request,Service Request,Request of quote a LCD
IT-58803,japan-pool,Personal Computing Hardware,Laptop Keyboard/Touchpad issue,Incident,Unable to configure Touch Pad on pc-haishima3
IT-58802,asiapac-pool,Personal Computing Hardware,Loaner Laptop Request,Service Request,need one machine to the customer site - Faraday for tool debuging
IT-58801,asiapac-pool,UNIX,UNIX create/modify Directory or Link,Service Request,create unix home directory for both SanJose and HsinChu sites
IT-58799,asiapac-pool,Personal Computing Software,Install/Configure Software,Service Request,install ftp client
IT-58798,asiapac-pool,Password,Password,Service Request,failed to login windows
IT-58797,India-pool,UNIX,Unix file Permission issues,Incident,"Â  

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Hello, 

Â  

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  I want permission/access to sudo command for my account on Noida server. 

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  pmote@cadence.com 

Â  

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Thanks, 

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Pravin Mote"
IT-58786,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi,
  In VNC  I am unable  to log in,

 Could u please help me to log in 


Thanks in advance "
IT-58785,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjf-dsgfed-g34, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58783,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
, Service: lsload Status"
IT-58782,India-pool,Personal Computing Accessories,Headset Request,Service Request,Jabber headphone not working .
IT-58781,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjf-dsgfed-g35, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58779,L2-Servicedesk,UNIX,VNC/NX issues,Incident,My DPC gnome linux NX is not working 
IT-58777,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfdsl126, Service: LSF Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-58776,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfdsl126, Service: lsload Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: lsload Status"
IT-58774,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjf-dsgfed-g33, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58772,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,Need SJDPC home Directory
IT-58770,asiapac-pool,Windows - Infrastructure Services,Cert EP  Server Unavailable (Down),Incident,"*From:* Selena Choi <[selena@cadence.com|mailto:selena@cadence.com]>
 *Sent:* Friday, January 10, 2020 4:17 PM
 *To:* Zhenxiang Hu <[zxhu@cadence.com|mailto:zxhu@cadence.com]>
 *Subject:* RE: Create new folder under krnas1

Â 

Hi Dennis,

Â 

Is it possible to sink between â€˜Shared_AE_Koreaâ€™ and as follows?

The short-cut is enouth.

Your advice will be appreciated.

Â 

\\krnas1\winshare\Dept\TFO\Weekly Report 2020\AE TL

Â 

Thanks & Regards,

Selena"
IT-58769,ccms-pool,CCMS,CCMS Access,Service Request,"Hi Team, 

Please provide permission to access CCMS 

Thanks "
IT-58768,jira-it-pool,JIRA,JIRA Website,Service Request,"1) Move the ""Label"" field from the 'Relations' tab to the 'Summary' (default first) tab. Rename the ""Label"" field as ""Theme"" only for CPG project category
2) Move the ""Planned Release"" field from the 'Planning' tab to the 'Summary' tab. Other attributes of the field would remain the same

Please expedite the service so that we are able to see the changes by Monday (1/13)

Thanks
"
IT-58763,asiapac-pool,Personal Computing Accessories,AC Adapter Request,Task,ç¬”è®°æœ¬é£Žæ‰‡å
IT-58762,asiapac-pool,Personal Computing Accessories,AC Adapter Request,Task,ä½¿ç”¨ä¸­æ­»æœºè“å±ï¼Œæ›´æ¢ç¬”è®°æœ¬ä¸»æ¿
IT-58761,asiapac-pool,Personal Computing Accessories,Display connector Request,Task,é¢†å–HDMIæ•°æ®çº¿ä¸€æ ¹
IT-58757,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjficd-dsl-v01, Service: Vormetric, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: Vormetric"
IT-58756,ccms-pool,CCMS,CCMS Access,Incident,"Hi IT colleagues, 

Â  

I want to modify the status of the CCR system through â€œchange state buttonâ€, but it pops out the Error message shown below. 

Could you help to open my permission, thus allowing me to rectify the corresponding status as well. 

Thanks for the help as always. 

Â  

!image001.png|thumbnail! 

Â  

Â  
| Sincerely yours, Jarvis Wang | 
|{color:#333333}
{color} !image002.jpg|thumbnail!{color:#333333}{color} | 
|
 !image003.jpg|thumbnail! | | 
|  *{color:#333333} *Jarvis Wang*{color}*{color:#E31937} :{color}{color:#333333}Â Â Principal Product Engineer{color} | 
|{color:#333333} P: 886.3.566.3549Â {color}{color:#333333}{color} [{color:#333333}{color}{color:#0563C1}jarvisw@cadence.com{color}{color:#333333}{color}|mailto:jarvisw@cadence.com]{color:#333333}{color}{color:#333333}{color} [{color:#333333}{color}{color:#0563C1}www.cadence.com{color}{color:#333333}{color}|http://www.cadence.com/]{color:#333333}{color} | 
| | 
|{color:#333333}
{color} !image002.jpg|thumbnail!{color:#333333}{color} | 
 

Â  

Â "
IT-58753,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjficd-dsl-v01, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58752,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfib121, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58748,India-pool,Personal Computing Hardware,Install/Configure/Guidance Printer,Service Request,I am not able to Login into virtual machine 
IT-58747,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfib112, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58746,India-pool,Personal Computing Hardware,Install/Configure/Guidance Printer,Service Request,I am not able to Login into virtual machine 
IT-58745,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhw589, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58743,India-pool,Personal Computing Hardware,Install/Configure/Guidance Printer,Service Request,I am not able to Login into virtual machine in Sj machine 
IT-58741,India-pool,Personal Computing Hardware,Install/Configure/Guidance Printer,Service Request,I am not able to Login into virtual machine 
IT-58740,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfib114, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-58739,asiapac-pool,Database,Database,Incident,Â 
IT-58738,India-pool,Personal Computing Hardware,Install/Configure/Guidance Printer,Service Request,I am not able to Login into virtual machine in  SJDPC 
IT-58737,asiapac-pool,Windows - Infrastructure Services,Cert EP  Server Unavailable (Down),Incident,re-join AD for vwsh-techstop.
IT-58735,India-pool,Password,Password Reset Failure,Incident,Password reset done.
IT-58733,L2-Servicedesk,DPC,DPC Data copy-out,Service Request,"Hi WS, 

Â  

It is required to managerâ€™s approval to copy out DB in DPC. Please approve it 

Â  

Hi IT 

Â  

I need to deliver following file in DPC to customer for VSR set up. 

Please deliver it. 

Â  

 ** File to deliver:* 

/dpc/vault44/kblee/Samsung/VSR_VCP/IT771812/users/snair/KB_Memory_Flow_20200102.tar.gz 

Â  
|  *{color:black} *No.*{color}* |  *{color:black} *Questions*{color}* |  *{color:black} *Answer*{color}* | 
|{color:black} 1{color} |{color:black} Business justification for the data transfer{color} | Router Setup for Samsung Memory | 
|{color:black} 2{color} |{color:black} Customer name where the information need to be sent /Internal Cadence employee{color} | Samsung (Seung-Il Chai) Cadence (Yuneseok Oh) | 
|{color:black} 3{color} |{color:black} How long access to the data is needed in hours{color} | 120{color:black} hours{color} | 
|{color:black} 4{color} |{color:black} The file type of data to be accessed{color} | Tar.gz | 
|{color:black} 5{color} |{color:black} The size of the data{color} | 1.484 GB | 
|{color:black} 6{color} |{color:black} Machine (Laptop) on Cadence LAN where the data need to be downloaded (if downloading to laptop){color} |{color:black} PC{color}-YUNESEOK-01 | 
|{color:black} 7{color} |{color:black} Is this related to TSMC derived data?{color} |{color:black} NO{color} | 
|{color:black} 8{color} |{color:black} User managerâ€™s name and the email of mandatory approval from userâ€™s manager{color} | WS Jung wsjung.cadence.com | 
|{color:black} 9{color} |{color:black} Does the transfer include TSMC source code libraries?{color} |{color:black} NO{color} | 
|{color:black} 10{color} |{color:black} Is there any 3 way NDA in place?{color} |{color:black} NO{color} | 
 

Â  

Best Regards, 

Yune 

Â "
IT-58732,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi it-support: 

Â  

We sometime need to know certain  rndâ€™s change is modified to the build in order to better reproduce the customer issue. Yet the reviewboard was not always avaible, therfore I was wondering if it is possible to grant my account p4 view authorization?  

Â  

Thanks 

Sincerely 

Yue Kang"
IT-58730,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10703, Service: AutoMounter Processes, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-58728,na-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Wooseok Lee
Title:-			Principal Design Engineer
Manager:-		Frank Brill
Employee_Number:-	313462
Employee login:-	wooseok
Location:-		AUSTIN 03"
IT-58727,India-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Deepti Sharma
Title:-			Principal Software Engineer
Manager:-		Bishnupriya Bhattacharya
Employee_Number:-	311874
Employee login:-	sdeepti
Location:-		NOIDA 01"
IT-58722,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10703, Service: LSF Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-58721,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10703, Service: Vormetric, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: Vormetric"
